producto,precioUnitario,talla,cantidad,vendedor,fecha,total
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,,XL,4.0,Sadio Mané,2026-01-03,600000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,medio,3.0,Kevin De Bruyne,2026-02-06,450000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,S,4.0,KYLIAN MBAPPÉ,2026-02-10,600000
Camiseta Polo M/C,,XXL,2.0,Virgil van Dijk,2026-02-25,196000
chaqueta tipo trucker en denim para hombre,820000.0,XS,4.0,Leo Messi,2026-02-14,3280000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,L,-1.0,Leo Messi,2026-01-14,600000
chaqueta tipo trucker en denim para hombre,820000.0,XL,4.0,Virgil van Dijk,2026-02-28,3280000
jean de hombre rider skinny fit tiro bajo lavado medio rotos detalles en costuras en mezcla de algodón,357000.0,S,1.0,Kevin De Bruyne,2026-01-20,357000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,S,5.0,LEO MESSI,2026-01-16,7500000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXXL,2.0,Sadio Mané,2026-01-03,3572
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,S,2.0,VIRGIL VAN DIJK,2026-01-02,400000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,,M,4.0,Virgil van Dijk,2026-02-19,440000
camisa polo de hombre classic fit manga larga varsity con cierre efecto desgaste en algodón,205000.0,S,1.0,Eden Hazard,2026-02-03,205000
camisa polo de hombre classic fit cuello nerú manga corta textura piqué jacquard en algodón,200000.0,XS,4.0,Cristiano Ronaldo,2026-02-05,800000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XL,4.0,Neymar Jr,13/01/2026,820000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,medio,3.0,Mohamed Salah,2026-01-09,450000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XS,2.0,MOHAMED SALAH,2026-01-23,980000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,XXL,3.0,KYLIAN MBAPPÉ,2026-02-06,600000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,M,3.0,Virgil van Dijk,2026-01-16,4697
